반,성명,통학_권역,1학년_평균등급,3학년_평균등급,등급_변화,G1_미인정결과,G1_미인정결석,G1_미인정조퇴,G1_미인정지각,G1_질병결과,G1_질병결석,G1_질병조퇴,G1_질병지각,G2_미인정결과,G2_미인정결석,G2_미인정조퇴,G2_미인정지각,G2_질병결과,G2_질병결석,G2_질병조퇴,G2_질병지각,G3_미인정결과,G3_미인정결석,G3_미인정조퇴,G3_미인정지각,G3_질병결과,G3_질병결석,G3_질병조퇴,G3_질병지각
3,N,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,O,Zone A (농어촌/근거리),6.0,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,0,0,3,1,5,0,0,0,2,0,2,2,6,0,0,15,0,0,28,8,0
3,Q,Zone A (농어촌/근거리),5.0,5.0,,0,0,0,2,0,2,3,0,0,0,0,3,1,3,2,2,0,0,0,3,0,13,2,4
3,R,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1
3,S,Zone A (농어촌/근거리),6.5,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,T,Zone A (농어촌/근거리),2.5,2.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
3,U,Zone B (시내/중거리),2.0,1.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1
3,V,Zone A (농어촌/근거리),3.5,3.0,,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,16,0,0
3,W,Zone B (시내/중거리),3.5,3.5,,0,0,0,0,1,5,6,0,0,0,0,0,0,3,1,3,0,0,2,1,0,2,2,1
3,X,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1
3,Y,Zone A (농어촌/근거리),6.5,7.0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,2,2,0,0,19,2,3
3,Z,Zone A (농어촌/근거리),5.0,4.5,,0,0,0,0,0,1,1,2,0,0,0,0,0,3,3,1,0,0,0,0,0,6,1,2
3,A,Zone A (농어촌/근거리),6.5,7.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,B,Zone A (농어촌/근거리),4.5,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C,Zone B (시내/중거리),6.5,6.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,D,Zone A (농어촌/근거리),4.0,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,E,Zone A (농어촌/근거리),3.0,3.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,F,Zone A (농어촌/근거리),4.5,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,G,Zone A (농어촌/근거리),2.5,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,H,Zone A (농어촌/근거리),5.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,I,Zone A (농어촌/근거리),6.0,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
